Title,Author,Rating,Want to Read
Advances in computers.,"Marvin V. Zelkowitz, Marshall C. Yovits",5.0 (1 rating),81 Want to read
Transactions on Engineering Technologies: World Congress on Engineering and Computer Science 2018,"Sio-Iong Ao, Haeng Kon Kim, Oscar Castillo, Alan Hoi-shou Chan, Hideki Katagiri",3.0 (1 rating),92 Want to read
"Computational Linguistics and Intelligent Text Processing: 14th International Conference, CICLing 2013, Samos, Greece, March 24-30, 2013, Proceedings, Part II",Alexander Gelbukh,5.0 (1 rating),35 Want to read
"Artificial Intelligence and Soft Computing: 21st International Conference, ICAISC 2022, Zakopane, Poland, June 19-23, 2022, Proceedings, Part I",Leszek Rutkowski,N/A,90 Want to read
"Intelligent Robotics and Applications: Third International Conference, ICIRA 2010, Shanghai, China, November 10-12, 2010. Proceedings, Part I",Honghai Liu,N/A,35 Want to read
"Artificial Intelligence Applications and Innovations: 20th IFIP WG 12. 5 International Conference, AIAI 2024, Corfu, Greece, June 27-30, 2024, Proceedings, Part II","Lazaros S. Iliadis, Ilias Maglogiannis, Harris Papadopoulos",5.0 (1 rating),14 Want to read
"Pattern Recognition: Chinese Conference, CCPR 2012, Beijing, China, September 24-26, 2012. Proceedings",Cheng-Lin Liu,N/A,1 Want to read
Computer concepts: comprehensive,"June Jamrich Parsons, Dan Oja",3.5 (2 ratings),169 Want to read
Systems analysis design,"Alan Dennis, Barbara Haley Wixom, David Tegarden, Roberta M. Roth",3.0 (1 rating),97 Want to read
"Advances in Swarm Intelligence: Third International Conference, ICSI 2012, Shenzhen, China, June 17-20, 2012 Proceedings, Part II",Ying Tan,N/A,9 Want to read
BTEC National for IT Practitioners: Core Units - Common Core and Specialist Units for All Pathways,Sharon Yull,N/A,22 Want to read
"Cooperative Design, Visualization, and Engineering: 19th International Conference, CDVE 2022, Virtual Event, October 25-28, 2022, Proceedings",Yuhua Luo,N/A,13 Want to read
"Advances in Computers, Vol. 14",Marshall C. Yovits,N/A,46 Want to read
"Advances in Visual Computing: First International Symposium, ISVC 2005, Lake Tahoe, NV, USA, December 5-7, 2005, Proceedings (Lecture Notes in Computer Science)","George Bebis, Richard Boyle, Darko Koracin, Bahram Parvin",N/A,2 Want to read
Advances in Computers,Atif Memon,N/A,28 Want to read
Computer confluence: exploring tomorrowʼs technology,"George Beekman, Linda Ericksen",N/A,38 Want to read
Java Software Solutions (Java 5.0 version): Foundations of Program Design (4th Edition) (Lewis Series),"Lewis, John, John E. Lewis Ph. D., William Loftus",N/A,37 Want to read
Objects First With Java: A Practical Introduction Using BlueJ (3rd Edition),"David J. Barnes, Michael Kolling, David Barnes, Kolling Barnes, D. Barnes",1.0 (1 rating),52 Want to read
Linear algebra with applications,Gareth Williams,5.0 (4 ratings),64 Want to read
Advances in Computers,"Ali R. Hurson, Veljko Milutinovic",N/A,14 Want to read
"Parallel Processing and Applied Mathematics: 9th International Conference, PPAM 2011, Torun, Poland, September 11-14, 2011. Revised Selected Papers, Part II",Roman Wyrzykowski,N/A,8 Want to read
Integral Methods in Science and Engineering: Progress in Numerical and Analytic Techniques,"Christian Constanda, Bardo E.J. Bodmann, Haroldo F. de Campos Velho",N/A,N/A
"Technology in action: Alan Evans, Kendall Martin, Mary Anne Poatsy.","Alan Evans, Alan Evans",4.0 (3 ratings),39 Want to read
"Neural Information Processing: 19th International Conference, ICONIP 2012, Doha, Qatar, November 12-15, 2012, Proceedings, Part I",Tingwen Huang,N/A,13 Want to read
Discrete Mathematics and Its Applications,Kenneth H. Rosen,4.8 (4 ratings),253 Want to read
"Emerging Research in Computing, Information, Communication and Applications: ERCICA 2020, Volume 2","N. R. Shetty, N.H. Prasad, N. Nalini",N/A,11 Want to read
"Computers Helping People with Special Needs: 14th International Conference, ICCHP 2014, Paris, France, July 9-11, 2014, Proceedings, Part I","Klaus Miesenberger, Christian Bühler, Petr Penaz",N/A,1 Want to read
"E-Business and Telecommunications: 17th International Conference on e-Business and Telecommunications, ICETE 2020, Online Event, July 8-10, 2020, Revised Selected Papers","Mohammad S. Obaidat, Joaquim Filipe",N/A,6 Want to read
Advanced Computing and Systems for Security: Volume 2,"Rituparna Chaki, Agostino Cortesi, Khalid Saeed, Nabendu Chaki",N/A,29 Want to read
"Natural Language Processing and Information Systems: 18th International Conference on Applications of Natural Language to Information Systems, NLDB 2013, Salford, UK, June 19-21, 2013. Proceedings",Elisabeth Métais,N/A,8 Want to read
"Image Analysis and Recognition: 9th International Conference, ICIAR 2012, Aveiro, Portugal, June 25-27, 2012. Proceedings, Part I",Aurélio Campilho,N/A,14 Want to read
"Artificial Intelligence for Knowledge Management: 6th IFIP WG 12. 6 International Workshop, AI4KM 2018, Held at IJCAI 2018, Stockholm, Sweden, July 15, 2018, Revised and Extended Selected Papers","Eunika Mercier-Laurent, Danielle Boulanger",N/A,11 Want to read
Computer science: an overview,"J. Glenn Brookshear, Brookshear",4.7 (3 ratings),147 Want to read
"Knowledge Discovery, Knowledge Engineering and Knowledge Management: 6th International Joint Conference, IC3K 2014, Rome, Italy, October 21-24, 2014, Revised Selected Papers",Ana Fred,N/A,4 Want to read
"Evaluation of Novel Approaches to Software Engineering: 16th International Conference, ENASE 2021 Virtual Event, April 26-27, 2021 Revised Selected Papers",Leszek A. Maciaszek,N/A,2 Want to read
"Foundations and Practice of Security: 14th International Symposium, FPS 2021, Paris, France, December 7-10, 2021, Revised Selected Papers",Joaquin Garcia-Alfaro,N/A,6 Want to read
"Advances in Computational Intelligence: 12th International Work-Conference on Artificial Neural Networks, IWANN 2013, Puerto de la Cruz, Tenerife, Spain, June 12-14, 2013, Proceedings, Part I",Ignacio Rojas,N/A,6 Want to read
"Information and Communication Technologies in Education, Research, and Industrial Applications: 16th International Conference, ICTERI 2020, Kharkiv, Ukraine, October 6-10, 2020, Revised Selected Papers","Vadim Ermolayev, Heinrich C. Mayr, Mykola Nikitchenko",N/A,4 Want to read
Brain-computer interface research: a state-of-the-art summary 2,"Christoph Guger, Brendan Z. Allison, Günter Edlinger",N/A,1 Want to read
"Pattern Recognition: 12th Mexican Conference, MCPR 2020, Morelia, Mexico, June 24-27, 2020, Proceedings","Jesús Ariel Carrasco-Ochoa, Jose Francisco Martinez-Trinidad, Jose Arturo Olvera López",N/A,4 Want to read
"Computer Information Systems and Industrial Management: 13th IFIP TC 8 International Conference, CISIM 2014, Ho Chi Minh City, Vietnam, November 5-7, 2014, Proceedings",Khalid Saeed,N/A,N/A
"Parallel Computing Technologies: 11th International Conference, PaCT 2011, Kazan, Russia, September 19-23, 2011. Proceedings",Victor Malyshkin,N/A,4 Want to read
New Perspectives on Computer Concepts 2013: Comprehensive,"June Jamrich Parsons, Dan Oja, June Jamirich Parsons, Une",N/A,6 Want to read
Ethical and Social Issues in the Information Age,Joseph Migga Kizza,N/A,9 Want to read
How computers work,"Ron White, Timothy Edward Downs",3.2 (5 ratings),184 Want to read
Discrete mathematics with applications,"Susanna S. Epp, Susanna Epp",3.2 (5 ratings),334 Want to read
Structure and interpretation of computer programs,"Harold Abelson, Gerald Jay Sussman, Julie Sussman",4.4 (24 ratings),174 Want to read
Encyclopedia of Computer Science and Technology,"Allen Kent, James G. Williams",N/A,11 Want to read
"Natural Language Processing and Chinese Computing: 8th CCF International Conference, NLPCC 2019, Dunhuang, China, October 9-14, 2019, Proceedings, Part I","Juanzi Li, Heng Ji, Dongyan Zhao, Yansong Feng",N/A,N/A
"Models, Algorithms, and Technologies for Network Analysis: NET 2016, Nizhny Novgorod, Russia, May 2016","Mikhail V. Batsyn, Valery A. Kalyagin, Panos M. Pardalos",N/A,N/A
"Reachability Problems: 14th International Conference, RP 2020, Paris, France, October 19-21, 2020, Proceedings","Parosh Aziz Abdulla, Igor Potapov",N/A,2 Want to read
"Computational Logistics: 13th International Conference, ICCL 2022, Barcelona, Spain, September 21-23, 2022, Proceedings","Francesco Corman, Stefan Voß, Rudy R. Negenborn",N/A,2 Want to read
"Electronic Government and the Information Systems Perspective: 11th International Conference, EGOVIS 2022, Vienna, Austria, August 22-24, 2022, Proceedings","Andrea Kő, Enrico Francesconi",N/A,1 Want to read
"Intelligent Computing: Proceedings of the 2021 Computing Conference, Volume 1","Kohei Arai, Supriya Kapoor, Rahul Bhatia",N/A,3 Want to read
Advances in Information Systems Science: Volume 9,Julius T. Tou,N/A,2 Want to read
Ferguson Career Coach: Managing Your Career in Education (Career Coach),Shelly Field,N/A,3 Want to read
Programming Perl,"Larry Wall, Tom Christiansen, Jon Orwant, Christiansen, WALL",3.8 (6 ratings),12 Want to read
Software Defined Radio: Baseband Technologies for 3G Handsets and Basestations (Wiley Series in Software Radio),Wally H. W. Tuttlebee,N/A,3 Want to read
Invitation to Computer Science,"G. Michael Schneider, Judith L. Gersting",N/A,59 Want to read
Mathematical structures for computer science: discrete mathematics and its applications,Judith L. Gersting,N/A,144 Want to read
"Advanced Computing in Industrial Mathematics: 16th Annual Meeting of the Bulgarian Section of SIAM, December 21-23, 2021, Sofia, Bulgaria, Revised Selected Papers","Krassimir Georgiev, Michail Todorov, Ivan Georgiev",N/A,2 Want to read
"Advances in Computing and Data Sciences: 6th International Conference, ICACDS 2022, Kurnool, India, April 22-23, 2022, Revised Selected Papers, Part I","Mayank Singh, Gupta, P. K., Vipin Tyagi, Jan Flusser, Tuncer Ören, Gianluca Valentino",N/A,3 Want to read
"Electronic Government: 15th Ifip Wg 8. 5 International Conference, Egov 2016, Guimaraes, Portugal, September 5-8, 2016, Proceedings","Ida Lindgren, Marijn Janssen, Habin Lee, Andrea Polini, Manuel Pedro Rodríguez Bolívar, Hans Jochen Scholl, Efthimios Tambouris",N/A,1 Want to read
"Internet of Things, Smart Spaces, and Next Generation Networks and Systems: 23rd International Conference, NEW2AN 2023, and 16th Conference, RuSMART 2023, Dubai, United Arab Emirates, December 21-22, 2023, Proceedings, Part II","Olga Galinina, Sergey Andreev, Sergey Balandin, Yevgeni Koucheryavy",N/A,2 Want to read
"Bio-Inspired Computing : Theories and Applications: 18th International Conference, BIC-TA 2023, Changsha, China, December 15-17, 2023, Revised Selected Papers, Part II","Cheng He, Hongwei Mo, Linqiang Pan, Yuxin Zhao",N/A,1 Want to read
"Communication Technologies for Vehicles: 5th International Workshop, Nets4Cars/Nets4Trains 2013, Villeneuve d’Ascq, France, May 14-15, 2013. Proceedings",Marion Berbineau,N/A,1 Want to read
"Financial Cryptography and Data Security: 28th International Conference, FC 2024, Willemstad, Curaçao, March 4-8, 2024, Revised Selected Papers, Part II","Jeremy Clark, Sarah Meiklejohn, Peter Y. A. Ryan, Dan Wallach, Michael Brenner, Kurt Rohloff",N/A,N/A
"Software Technologies: 8th International Joint Conference, ICSOFT 2013, Reykjavik, Iceland, July 29-31, 2013, Revised Selected Papers","Andreas Holzinger, Jorge Cardoso, José Cordeiro, Therese Libourel, Leszek A. Maciaszek, Marten van Sinderen",N/A,2 Want to read
"Membrane Computing: 20th International Conference, CMC 2020, Virtual Event, September 14-18, 2020, Revised Selected Papers","Marian Gheorghe, Grzegorz Rozenberg, Arto Salomaa, Petr Sosík, Claudio Zandron",N/A,2 Want to read
"Computer Vision -- ECCV 2014: 13th European Conference, Zurich, Switzerland, September 6-12, 2014, Proceedings, Part VI","David Fleet, Tomas Pajdla, Bernt Schiele, Tinne Tuytelaars",N/A,1 Want to read
"Neural Information Processing: 28th International Conference, ICONIP 2021, Sanur, Bali, Indonesia, December 8-12, 2021, Proceedings, Part I","Minho Lee, Akira Hirose, Zeng-Guang Hou, Rhee Man Kil",N/A,N/A
"International Conference on Innovative Computing and Communications: Proceedings of ICICC 2023, Volume 1","Deepak Gupta, Ashish Khanna, Siddhartha Bhattacharyya, Aboul Ella Hassanien, Sameer Anand, Ajay Jaiswal",N/A,1 Want to read
"Model and Data Engineering: 11th International Conference, MEDI 2022, Cairo, Egypt, November 21-24, 2022, Proceedings",Ladjel Bellatreche,N/A,2 Want to read
Horizons in computer science research,Thomas S. Clary,N/A,10 Want to read
"Artificial Intelligence Applications and Innovations: 8th IFIP WG 12.5 International Conference, AIAI 2012, Halkidiki, Greece, September 27-30, 2012, Proceedings, Part I",Lazaros Iliadis,N/A,3 Want to read
"Distributed, Ambient, and Pervasive Interactions: First International Conference, DAPI 2013, Held as Part of HCI International 2013, Las Vegas, NV, USA, July 21-26, 2013. Proceedings",Norbert Streitz,N/A,1 Want to read
"Computer Algebra in Scientific Computing: 14th International Workshop, CASC 2012, Maribor, Slovenia, September 3-6, 2012. Proceedings",Vladimir P. Gerdt,N/A,3 Want to read
"Computer Engineering and Technology: 16th National Conference, NCCET 2012, Shanghai, China, August 17-19, 2012, Revised Selected Papers",Weixia Xu,N/A,5 Want to read
Recent Advances in Computer Science and Information Engineering: Volume 6,Zhihong Qian,N/A,1 Want to read
Artificial General Intelligence (Cognitive Technologies),"Ben Goertzel, Cassio Pennachin",5.0 (1 rating),3 Want to read
"Engineering Psychology and Cognitive Ergonomics: 20th International Conference, EPCE 2023, Held As Part of the 24th HCI International Conference, HCII 2023, Copenhagen, Denmark, July 23-28, 2023, Proceedings, Part I",Don Harris,N/A,1 Want to read
"Security in Computing and Communications: Third International Symposium, SSCC 2015, Kochi, India, August 10-13, 2015. Proceedings","Sabu M. Thampi, Sanjay Madria, Guojun Wang, Danda B. Rawat, Jose M. Alcaraz Calero",N/A,1 Want to read
"Biometric Recognition: 11th Chinese Conference, CCBR 2016, Chengdu, China, October 14-16, 2016, Proceedings","Zhenan Sun, Gongping Yang, Jie Zhou, Yunhong Wang, Yilong Yin",N/A,N/A
Computer Science: An Overview,"J. Glenn Brookshear, Glenn Brookshear",5.0 (1 rating),49 Want to read
"Advances in Knowledge Discovery and Data Mining: 28th Pacific-Asia Conference on Knowledge Discovery and Data Mining, PAKDD 2024, Taipei, Taiwan, May 7-10, 2024, Proceedings, Part IV","Dinh Phung, Vincent S. Tseng, Geoffrey I. Webb, Bao Ho, Mohadeseh Ganji, Lida Rashidi",N/A,1 Want to read
"Advanced Informatics for Computing Research: 6th International Conference, ICAICR 2023, Rohtak, Haryana, India, December 16-17, 2023, Revised Selected Papers, Part II","Ashish Kumar Luhach, Dharm Singh Jat, Kamarul Bin Ghazali Hawari, Xiao-Zhi Gao, Pawan Lingras",N/A,1 Want to read
Dictionary of computing,"S. M. H. Collin, Simon Collin",N/A,7 Want to read
"Biomedical Engineering Systems and Technologies: 4th International Joint Conference, BIOSTEC 2011, Rome, Italy, January 26-29, 2011, Revised Selected Papers",Ana Fred,N/A,2 Want to read
"Advances in Data Mining. Applications and Theoretical Aspects: 12th Industrial Conference, ICDM 2012, Berlin, Germany, July 13-20, 2012. Proceedings",Petra Perner,N/A,5 Want to read
"Human Behavior Understanding: Third International Workshop, HBU 2012, Vilamoura, Portugal, October 7, 2012. Proceedings",Albert Ali Salah,N/A,3 Want to read
Discrete and combinatorial mathematics: an applied introduction,Ralph P. Grimaldi,4.3 (3 ratings),31 Want to read
"Advances in artificial intelligence: 16th Conference of the Canadian Society for Computational Studies of Intelligence, AI 2003, Halifax, Canada, June 2003 : proceedings",Canadian Society for Computational Studi...,N/A,4 Want to read
"The innovators: how a group of hackers, geniuses, and geeks created the digital revolution",Walter Isaacson,3.9 (21 ratings),99 Want to read
Hackers: heroes of the computer revolution,Steven Levy,4.0 (23 ratings),283 Want to read
Architectural Approach to Level Design: Second Edition,Christopher W. Totten,N/A,5 Want to read
"Information Security and Cryptology: Second SKLOIS Conference, Inscrypt 2006, Beijing, China, November 29 - December 1, 2006, Proceedings (Lecture Notes in Computer Science)","Helger Lipmaa, Moti Yung, Donghai Lin",N/A,1 Want to read
"Electronic Participation: 4th IFIP WG 8.5 International Conference, ePart 2012, Kristiansand, Norway, September 3-5, 2012. Proceedings",Efthimios Tambouris,N/A,1 Want to read
"Modeling Decisions for Artificial Intelligence: 9th International Conference, MDAI 2012, Girona, Catalonia, Spain, November 21-23, 2012. Proceedings",Vicenç Torra,N/A,1 Want to read
"Advances in Visual Computing: 8th International Symposium, ISVC 2012, Rethymnon, Crete, Greece, July 16-18, 2012, Revised Selected Papers, Part II",George Bebis,N/A,2 Want to read
"Information Security and Cryptology: 9th International Conference, Inscrypt 2013, Guangzhou, China, November 27-30, 2013, Revised Selected Papers","Dongdai Lin, Shouhuai Xu, Moti Yung",N/A,N/A
"Engineering Applications of Neural Networks: 12th International Conference, Eann 2011 and 7th Ifip Wg 12. 5 International Conference, Aiai 2011, Corfu","Chrisina Jayne, Shigang Yue, Lazaros S. Iliadis",N/A,2 Want to read
"Structured Object-Oriented Formal Language and Method: 4th International Workshop, SOFL+MSVL 2014, Luxembourg, Luxembourg, November 6, 2014, Revised Selected Papers","Shaoying Liu, Zhenhua Duan",N/A,1 Want to read
"Intelligence and Security Informatics: Pacific Asia Workshop, PAISI 2012, Kuala Lumpur, Malaysia, May 29, 2012. Proceedings",Michael Chau,N/A,2 Want to read
"Systems, Software and Services Process Improvement: 21st European Conference, EuroSPI 2014, Luxembourg, June 25-27, 2014. Proceedings","Jakub Stolfa, Svatopluk Stolfa, Rory V. O'Connor, Richard Messnarz",N/A,1 Want to read
"Statistical Language and Speech Processing: 9th International Conference, SLSP 2021, Cardiff, UK, November 23-25, 2021, Proceedings","Carlos Martín-Vide, Matthew Purver, Senja Pollak",N/A,1 Want to read
"Computational Science and Its Applications - ICCSA 2014: 14th International Conference, Guimarães, Portugal, June 30 - July 3, 204, Proceedings, Part IV","Beniamino Murgante, Sanjay Misra, Ana Maria Alves Coutinho Rocha, Carmelo Torre, Jorge Gustavo Rocha, Maria Irene Falcão, David Taniar, Bernady O. Apduhan, Osvaldo Gervasi",N/A,1 Want to read
"Health Information Science: 5th International Conference, HIS 2016, Shanghai, China, November 5-7, 2016, Proceedings","Xiaoxia Yin, James Geller, Ye Li, Rui Zhou, Hua Wang, Yanchun Zhang",N/A,1 Want to read
"Machine Learning and Data Mining in Pattern Recognition: 4th International Conference, MLDM 2005, Leipzig, Germany, July 9-11, 2005, Proceedings (Lecture Notes in Computer Science)","Petra Perner, Atsushi Imiya",N/A,4 Want to read
