Title,Author,Rating,Want to Read
"Relativity, the special and the general theory: a popular exposition.",Albert Einstein,4.4 (17 ratings),222 Want to read
"Newton's Principia sections I., II., III.: with notes and illustrations : also a collection of problems principally intended as examples of Newton's methods",Sir Isaac Newton,3.8 (15 ratings),317 Want to read
On the nature of things (De rerum natura)  Translated with an analysis of the six books by H.A.J. Munro.,Titus Lucretius Carus,3.8 (15 ratings),343 Want to read
Of Human Bondage,William Somerset Maugham,4.2 (10 ratings),149 Want to read
Notre Dame de Paris,Victor Hugo,4.1 (44 ratings),253 Want to read
The secret garden,Frances Hodgson Burnett,3.9 (75 ratings),935 Want to read
Flatland: a romance of many dimensions,Edwin Abbott Abbott,3.9 (97 ratings),569 Want to read
A brief history of time: from the big bang to black holes,Stephen Hawking,4.1 (213 ratings),"2,104 Want to read"
Through the looking-glass,"Lewis Carroll, Lewis Carroll, Lewis Lewis Carroll",4.0 (50 ratings),435 Want to read
"Aristotle, the Physics",Aristotle,3.6 (18 ratings),476 Want to read
Earth: An Introduction to Physical Geology (9th Edition),"Edward J. Tarbuck, Frederick K. Lutgens",4.1 (8 ratings),171 Want to read
Cosmos: a survey of the general physical history of the universe.,Alexander von Humboldt,4.0 (2 ratings),113 Want to read
Fit and Well: Core Concepts and Labs in Physical Fitness and Wellness,"Thomas D. Fahey, Paul M. Insel, Walton T. Roth",N/A,87 Want to read
Earth Science: North Carolina Edition,"Edward J. Tarbuck, Frederick K. Lutgens",5.0 (3 ratings),124 Want to read
The world as I see it,"Albert Einstein, Neil Berger",4.2 (4 ratings),210 Want to read
Physics for Scientist and Engineers: Volume 2,"Paul A. Tipler, Gene Mosca",4.4 (16 ratings),426 Want to read
"Glencoe Science: Earth Science Modules, Study Guide, Student Edition (Glencoe Science)",McGraw-Hill,3.8 (6 ratings),172 Want to read
Fundamentals of physics,"David Halliday, Robert Resnick, Jearl  Walker",4.3 (23 ratings),509 Want to read
What If? 2: Additional Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.3 (102 ratings),433 Want to read
Physics: principles with applications,Douglas C. Giancoli,4.2 (18 ratings),321 Want to read
Madame Curie: a biography,"Curie, Eve",3.8 (13 ratings),247 Want to read
University physics: electricity and magnetism; optics and atomic physics,"Francis Weston Sears, Mark Waldo Zemansky, Hugh D. Young, Roger A. Freedman",3.8 (8 ratings),222 Want to read
Physics for Scientists & Engineers: Pocket Guide,Raymond A. Serway,4.5 (2 ratings),286 Want to read
The A B C of relativity,Bertrand Russell,5.0 (1 rating),32 Want to read
College physics: a strategic approach,"Randall Dewey Knight, Randall D. Knight, Brian Jones, Stuart Field",5.0 (1 rating),95 Want to read
From head to toe,Eric Carle,4.2 (12 ratings),122 Want to read
Longitude: the story of a lone genius who solved the greatest scientific problem of his time,Dava Sobel,4.2 (30 ratings),118 Want to read
Conceptual physics: a new introduction to your environment,Paul G. Hewitt,4.0 (13 ratings),253 Want to read
The Tao of Physics: An Exploration of the Parallels Between Modern Physics and Eastern Mysticism,Fritjof Capra,3.4 (5 ratings),152 Want to read
